,commentIds,comments
1306,FDA-2012-D-0071-1527,WHY?  WHY ARE YOU USING ANIMALS FOR THIS DISGUSTING WEAKNESS?IT'S POISON - YOU HAVE TONS OF HUMAN GUINEA PIGS - LEAVE THE ANIMALS ALONE!TO TREAT AN ANIMAL THE WAY THEY ARE USED IN THE PHOTO OF YOUR EXPERIMENTS IS FREAKISHLY LOW EVEN FOR THE LIKES OF THE TOBACCO INDUSTRY!
1308,FDA-2011-N-0271-0014,See attached file(s)
1309,FDA-2013-N-0521-0122,na
1311,FDA-2012-D-0071-0275,Have heart. Please stop. 
1313,FDA-2012-D-0071-0702,"Please ban animal testing in tobacco product tests.  In some of the horrendous tobacco tests that could be conducted, rats would be forced to breathe tobacco smoke for as long as six hours a day for months at a time by jamming the animals into tiny canisters and pumping concentrated cigarette smoke directly into their noses. The animals would then be killed and their bodies dissected.This is cruel and unnecessary.Belgium, Germany, the U.K., and other countries have banned the testing of tobacco products on animals, and all the tobacco safety tests required by the Canadian government are modern, non-animal methods."
1314,FDA-2013-N-0521-0236,"Cranwell, Moore, & Emick - Comment"
1316,FDA-2012-D-0071-1700,"Please do not allow such testing to occur. People have the right to chose to smoke, and they are aware of the possible consequences that may occur. Testing on animals will not prevent these people to smoke. "
1317,FDA-2012-D-0071-0364,"This is so typical, animals used and tortured for what!!!! So now humans can do it willingly.  Those poor animals are not given a choice.  let me be a voice for them  STOP!!!!!!!!"
1318,FDA-2012-D-0071-0602,"Please cease torturing animals, and wasting money to beat the dead horse (all puns intended) that tobacco toxicity testing is.Thank you,"
1319,FDA-2012-D-0071-0358,this is so stupid...let smokers tell you the effects and problems with smoking. Im sure there are willing people that would let you test on them!
1320,FDA-2012-D-0071-1650,"It is essential as a civilized society to stop this horrific use ofliving, feeling creatures for any type of testing immediately!I am sickened that there are educated people who would partakein such actions.  Let's put a fault to this now!!!"
1321,FDA-2012-D-0071-0634,"Belgium, Germany, the U.K., and other countries have banned the testing of tobacco products on animals, and all the tobacco safety tests required by the Canadian government are modern, non-animal methods.No more animals should suffer and die for these archaic, inaccurate, and cruel tests on products that we already know are deadly when used as directed!  I’m urging you to remove any language recommending or allowing animal tests from the FDA draft guidance on tobacco product testing."
1322,FDA-2012-D-0071-1679,"Please do not allow animal testing on tobacco products. They are irrelevant to human smokers and there are more modern and accurate non-animal methods available, such as computer simulation, tests using human cells, and clinical studies with human smokers.Belgium, Germany, the U.K., and other countries have banned the testing of tobacco products on animals, and all the tobacco safety tests required by the Canadian government are modern, non-animal methods."
1323,FDA-2012-D-0071-0315,"Please revise your recommendations so that no animals are harmed, suffer, or die for tobacco prodcut tesing. Thank you for your comsideration and compassion."
1325,FDA-2012-D-0071-0558,I don't understand the need to torture these little creatures so that stupid people can smoke. Everyone in the world knows the end results of using tobacco products. How do you sleep at night. I'm supposed to write a polite letter but come on.......surely even you people get annoyed with stupidity.
1326,FDA-2012-D-0071-1751,Please remove any language recommending or allowing animal tests from your draft guidance on tobacco product testing.
1327,FDA-2009-N-0294-0455,"I would like to express my dismay at the attitudes being expressed by the FDA in regards to smoking tobacco. My father died from copd and my friend recently died from smoking related lung cancer. They were wonderful people who made, ( though unknown by the public), great contributions to society. My friend was once confronted and belittled by our nieghbor for being of Arab decent. I appologized for them and was extrremely upset. My friend explained that these bigots,( my term, not his), have to have the right to express themselves and not be isolated so that they can be a part of society and here contrary views in hopes of changing their views. If we isolate them they will only become more bitter and never get the chance to grow.  Now my government is isolating smokers like my friend. What a shame. I am very concerned by what we are doing to smokers and believe it is more hate and bigotry not the public good that is the driving force behind the regulations that smokers are being subjected to. Example: E V A is being added to cigarrettes to stop people from burning down the house. You are forcing people people to inhale a product used in mothballs and the glue in hot glueguns. I do not a nonsmoker who agrees with that."
1328,FDA-2012-D-0071-0600,"I am so shocked to see what is done to these poor animals!  They aren't the ones who smoke, so why not use the actual people that decide to harm themselves instead?   These poor animals do not have a chance to defend themselves... what a horrible thing we do!   I just can't belive it!   Please stop this procedure immediately!   It is disgusting!!!!!"
